shd_fips,mrp_mean,mrp_sd,mrp_lower,mrp_upper,raw_mean,sample_size,abb,state,district,name,state_fips,pres_2012
1048,0.341566175,0.144150816,0.087877909,0.636687493,0.411746461,36,AL,Alabama,48,"State House District 48 (2012), Alabama",1,NA
1049,0.378567872,0.169220189,0.060079049,0.747302072,0.611531939,25,AL,Alabama,49,"State House District 49 (2012), Alabama",1,NA
1050,0.318802818,0.161801085,0.014168962,0.664079943,0.428998549,22,AL,Alabama,50,"State House District 50 (2012), Alabama",1,NA
1051,0.59389941,0.175624956,0.213333192,0.890541616,0.773223881,23,AL,Alabama,51,"State House District 51 (2012), Alabama",1,NA
1052,-0.148736989,0.15632264,-0.379716286,0.182674634,-0.255085416,46,AL,Alabama,52,"State House District 52 (2012), Alabama",1,NA
1053,-0.010939107,0.165582489,-0.361874112,0.332497043,0.225017553,32,AL,Alabama,53,"State House District 53 (2012), Alabama",1,NA
1054,0.059338493,0.224345263,-0.371011717,0.347848948,-0.191401288,20,AL,Alabama,54,"State House District 54 (2012), Alabama",1,NA
1055,-0.770155654,0.190623965,-1.016077674,-0.399850694,-0.770092747,45,AL,Alabama,55,"State House District 55 (2012), Alabama",1,NA
1056,0.035902663,0.169914036,-0.303254235,0.400399076,0.003735653,22,AL,Alabama,56,"State House District 56 (2012), Alabama",1,NA
1057,-0.257322661,0.191322762,-0.514243654,0.132243068,-0.355602399,28,AL,Alabama,57,"State House District 57 (2012), Alabama",1,NA
1058,-0.236402271,0.135941326,-0.475819912,0.073855533,-0.366773896,48,AL,Alabama,58,"State House District 58 (2012), Alabama",1,NA
1059,-0.384707493,0.165236782,-0.681305835,-0.030859725,-0.708715911,35,AL,Alabama,59,"State House District 59 (2012), Alabama",1,NA
1060,-0.342061076,0.191957708,-0.735796088,-0.006776451,-0.713902796,20,AL,Alabama,60,"State House District 60 (2012), Alabama",1,NA
1061,0.275416127,0.224157099,-0.027218634,0.742828414,0.557861594,18,AL,Alabama,61,"State House District 61 (2012), Alabama",1,NA
1062,0.408536941,0.168469759,0.056073039,0.77931739,0.784391128,28,AL,Alabama,62,"State House District 62 (2012), Alabama",1,NA
1063,0.102392889,0.167451827,-0.284597356,0.425278581,-0.182279926,21,AL,Alabama,63,"State House District 63 (2012), Alabama",1,NA
1064,0.547543667,0.156860649,0.229529561,0.889058865,0.944001507,31,AL,Alabama,64,"State House District 64 (2012), Alabama",1,NA
1065,0.525042042,0.186310059,0.118897368,0.86959904,0.711621422,22,AL,Alabama,65,"State House District 65 (2012), Alabama",1,NA
1066,0.110488131,0.161906618,-0.187666342,0.479007705,0.328225396,33,AL,Alabama,66,"State House District 66 (2012), Alabama",1,NA
1067,-0.227914195,0.190086296,-0.463968705,0.145356002,-0.379005136,37,AL,Alabama,67,"State House District 67 (2012), Alabama",1,NA
1068,0.032023682,0.203272983,-0.42008588,0.365997981,-0.011412286,16,AL,Alabama,68,"State House District 68 (2012), Alabama",1,NA
1069,-0.123915242,0.167451902,-0.450628349,0.251506969,-0.14456181,18,AL,Alabama,69,"State House District 69 (2012), Alabama",1,NA
1070,-0.170503952,0.165279911,-0.540703308,0.1077641,-0.079957676,30,AL,Alabama,70,"State House District 70 (2012), Alabama",1,NA
1071,0.104815135,0.16520779,-0.248801565,0.449137279,0.269949738,26,AL,Alabama,71,"State House District 71 (2012), Alabama",1,NA
1072,0.047533317,0.151407022,-0.310140459,0.327816969,-0.13929792,35,AL,Alabama,72,"State House District 72 (2012), Alabama",1,NA
1073,0.388669328,0.137793348,0.097644591,0.684324143,0.591927723,48,AL,Alabama,73,"State House District 73 (2012), Alabama",1,NA
1074,0.219914939,0.141985849,-0.069086156,0.507118482,0.282566127,50,AL,Alabama,74,"State House District 74 (2012), Alabama",1,NA
1075,0.408103013,0.218568642,-0.004181316,0.684639734,0.288266473,24,AL,Alabama,75,"State House District 75 (2012), Alabama",1,NA
1076,-0.340843271,0.147981633,-0.602503712,0.00332568,-0.633875217,40,AL,Alabama,76,"State House District 76 (2012), Alabama",1,NA
1077,-0.218275767,0.16746838,-0.466928062,0.16702781,-0.246859673,39,AL,Alabama,77,"State House District 77 (2012), Alabama",1,NA
1078,0.113313658,0.181527703,-0.288150468,0.394918065,0.220598911,29,AL,Alabama,78,"State House District 78 (2012), Alabama",1,NA
1079,0.161310656,0.16270616,-0.148996268,0.51996929,0.059327292,26,AL,Alabama,79,"State House District 79 (2012), Alabama",1,NA
1080,0.087627986,0.164766622,-0.246685308,0.45322151,0.045258981,25,AL,Alabama,80,"State House District 80 (2012), Alabama",1,NA
1081,0.247812758,0.188290814,-0.075492823,0.631975835,0.404724756,20,AL,Alabama,81,"State House District 81 (2012), Alabama",1,NA
1082,-0.229884254,0.149807318,-0.537555643,0.065823314,-0.362281479,30,AL,Alabama,82,"State House District 82 (2012), Alabama",1,NA
1083,-0.06700914,0.158975042,-0.405939316,0.25805209,0.184818426,32,AL,Alabama,83,"State House District 83 (2012), Alabama",1,NA
1084,0.244103334,0.159987184,-0.026926348,0.609265091,0.617242457,28,AL,Alabama,84,"State House District 84 (2012), Alabama",1,NA
1085,0.363136941,0.156673692,0.037070899,0.667758415,1.054887544,28,AL,Alabama,85,"State House District 85 (2012), Alabama",1,NA
1086,0.461402385,0.171205039,0.120132835,0.6914686,0.432769545,44,AL,Alabama,86,"State House District 86 (2012), Alabama",1,NA
1087,0.128465055,0.162957565,-0.220685913,0.454569156,0.04484486,27,AL,Alabama,87,"State House District 87 (2012), Alabama",1,NA
1088,0.330168438,0.1810081,-0.032126194,0.730711018,0.491074032,18,AL,Alabama,88,"State House District 88 (2012), Alabama",1,NA
1089,0.276042332,0.176525476,-0.074897545,0.67397233,0.533954339,26,AL,Alabama,89,"State House District 89 (2012), Alabama",1,NA
1090,0.496655988,0.209293477,0.085698816,0.770843707,1.042930899,28,AL,Alabama,90,"State House District 90 (2012), Alabama",1,NA
1091,0.312479817,0.164713273,-0.055333649,0.667373755,0.671521564,32,AL,Alabama,91,"State House District 91 (2012), Alabama",1,NA
1092,0.164583727,0.190494527,-0.241956125,0.58149248,0.478654173,14,AL,Alabama,92,"State House District 92 (2012), Alabama",1,NA
1093,0.370418611,0.141810174,0.052921904,0.663118434,0.752555871,34,AL,Alabama,93,"State House District 93 (2012), Alabama",1,NA
1094,0.061982757,0.160110498,-0.266486933,0.396631243,0.225694851,27,AL,Alabama,94,"State House District 94 (2012), Alabama",1,NA
1095,0.306991164,0.140814363,-0.027232468,0.586074266,0.585382082,47,AL,Alabama,95,"State House District 95 (2012), Alabama",1,NA
1096,0.312226984,0.148055285,0.001317945,0.593557636,0.430381811,32,AL,Alabama,96,"State House District 96 (2012), Alabama",1,NA
1097,-0.47474214,0.164893272,-0.791260691,-0.128579611,-0.62151851,30,AL,Alabama,97,"State House District 97 (2012), Alabama",1,NA
1098,-0.1948523,0.161878473,-0.518173095,0.12586715,-0.23221645,27,AL,Alabama,98,"State House District 98 (2012), Alabama",1,NA
1099,-0.402541714,0.167898842,-0.752384916,-0.089683717,-0.731322534,30,AL,Alabama,99,"State House District 99 (2012), Alabama",1,NA
1100,0.635613575,0.221788527,0.3752646,1.061201049,0.79249105,30,AL,Alabama,100,"State House District 100 (2012), Alabama",1,NA
1101,0.482086311,0.152910793,0.181357374,0.809756231,0.479284872,26,AL,Alabama,101,"State House District 101 (2012), Alabama",1,NA
1102,0.526187944,0.184426953,0.136573087,0.814451513,0.470669705,25,AL,Alabama,102,"State House District 102 (2012), Alabama",1,NA
1103,0.021501276,0.170715176,-0.348842248,0.346654694,-0.11247956,28,AL,Alabama,103,"State House District 103 (2012), Alabama",1,NA
1104,0.480241443,0.164462982,0.214931726,0.853900078,0.698356361,42,AL,Alabama,104,"State House District 104 (2012), Alabama",1,NA
1105,0.46424809,0.194616207,0.154737532,0.867422607,0.76450094,19,AL,Alabama,105,"State House District 105 (2012), Alabama",1,NA
