shd_fips_num,shd_fips,mrp_mean,mrp_sd,mrp_lower,mrp_upper,raw_mean,sample_size2,abb,state,state_fips,pres_2008
1059,1059,-0.189353699,0.165129612,-0.52712374,0.134995252,-0.273297297,23,AL,Alabama,1,0.786378138
1060,1060,-0.298301177,0.158663347,-0.621051321,0.029606441,-0.550574949,26,AL,Alabama,1,0.775331126
1061,1061,0.076713143,0.149973127,-0.224341106,0.368673638,0.231842588,36,AL,Alabama,1,0.378805019
1062,1062,0.332629095,0.149500833,0.053680561,0.617757988,0.300269435,36,AL,Alabama,1,0.29533911
1063,1063,0.169095763,0.145660283,-0.099731386,0.436223605,0.057018397,36,AL,Alabama,1,0.414189508
1064,1064,0.12407149,0.16274919,-0.167039078,0.456690988,-0.033558155,19,AL,Alabama,1,0.30056107
1065,1065,0.182379225,0.16215466,-0.137325798,0.509816675,0.202675526,27,AL,Alabama,1,0.353129283
1066,1066,0.375744,0.15746917,0.079724579,0.684838858,0.795808651,30,AL,Alabama,1,0.295354523
1067,1067,-0.066615017,0.158825327,-0.367595216,0.225380683,-0.28494187,28,AL,Alabama,1,0.668971478
1068,1068,-0.243988381,0.159013101,-0.532757088,0.062729701,-0.292673343,25,AL,Alabama,1,0.576408433
1069,1069,-0.030610783,0.184796196,-0.376699347,0.331052014,0.187939912,13,AL,Alabama,1,0.650979925
1070,1070,-0.266671897,0.149508381,-0.575139717,0.009298976,-0.135476905,34,AL,Alabama,1,0.780412794
1071,1071,0.013290648,0.154335147,-0.294467266,0.315428613,0.133461305,31,AL,Alabama,1,0.646133045
1072,1072,-0.128968226,0.176947183,-0.464327049,0.20575844,-0.065209331,19,AL,Alabama,1,0.625895569
1073,1073,0.324451907,0.152313047,0.05260557,0.623496548,0.36433291,37,AL,Alabama,1,0.490757363
1074,1074,0.409998039,0.150091769,0.106527053,0.704807263,0.586205337,38,AL,Alabama,1,0.30830405
1075,1075,0.401951123,0.134657966,0.13104598,0.670996206,0.51238016,56,AL,Alabama,1,0.332574587
1076,1076,-0.120037616,0.147700837,-0.407231457,0.177628295,-0.074617252,44,AL,Alabama,1,0.757623841
1077,1077,-0.154505722,0.177192613,-0.485334648,0.187607423,-0.08466412,21,AL,Alabama,1,0.871546961
1078,1078,-0.152691515,0.172634972,-0.498502413,0.177321296,-0.02703328,18,AL,Alabama,1,0.84768005
1079,1079,0.133477047,0.142997129,-0.17690646,0.393878754,-0.070979157,43,AL,Alabama,1,0.877867328
1080,1080,0.252791774,0.153566475,-0.04096512,0.539022974,0.343349902,35,AL,Alabama,1,0.387791563
1081,1081,0.150566912,0.147096667,-0.1280388,0.42862106,0.137465849,36,AL,Alabama,1,0.319193506
1082,1082,-0.131813236,0.150350859,-0.441120454,0.150741011,0.013093846,29,AL,Alabama,1,0.80462956
1083,1083,-0.146700092,0.174694198,-0.470970148,0.194415108,0.04887832,21,AL,Alabama,1,0.545097476
1084,1084,0.104041634,0.165445774,-0.218839457,0.405979694,0.228108932,32,AL,Alabama,1,0.570371292
1085,1085,0.129778198,0.14147889,-0.140067637,0.410975484,0.522025164,36,AL,Alabama,1,0.426901399
1086,1086,0.263514373,0.125100705,0.037724051,0.498073273,0.274055247,60,AL,Alabama,1,0.273266747
1087,1087,0.156942013,0.157077772,-0.142113925,0.467856446,0.091472234,31,AL,Alabama,1,0.175650118
1088,1088,0.322476271,0.136523533,0.052227484,0.557553085,0.34338395,51,AL,Alabama,1,0.309072471
1089,1089,0.212506235,0.1380027,-0.061930028,0.489032385,0.309180991,40,AL,Alabama,1,0.368882889
1090,1090,0.231565015,0.160922821,-0.080543825,0.55558237,0.352885064,32,AL,Alabama,1,0.38796101
1091,1091,0.301697541,0.144989703,0.024405859,0.564616088,0.326843204,43,AL,Alabama,1,0.252192751
1092,1092,0.308694674,0.162761221,-0.003538731,0.620144678,0.714073709,21,AL,Alabama,1,0.252245217
1093,1093,0.256146504,0.147836848,-0.009637172,0.556478823,0.452727841,38,AL,Alabama,1,0.239660657
1094,1094,0.165144896,0.130488338,-0.084936548,0.429885513,0.20103702,42,AL,Alabama,1,0.223674655
1095,1095,0.248224952,0.122244158,0.012174507,0.480436124,0.168969414,61,AL,Alabama,1,0.244391408
1096,1096,0.257476221,0.148850602,-0.047440021,0.53794748,0.263501052,42,AL,Alabama,1,0.282931516
1097,1097,-0.298831641,0.164657913,-0.606427017,0.037700996,-0.503159164,26,AL,Alabama,1,0.756984586
1098,1098,-0.184461029,0.162826437,-0.498763285,0.130948564,-0.09771735,25,AL,Alabama,1,0.73379738
1099,1099,-0.302951321,0.162669758,-0.614826897,-0.008766034,-0.278108392,26,AL,Alabama,1,0.785584742
1100,1100,0.3826008,0.144779964,0.09797208,0.669452706,0.588287948,34,AL,Alabama,1,0.245035461
1101,1101,0.140382676,0.144357728,-0.138803051,0.418443953,-0.030711978,36,AL,Alabama,1,0.370729485
1102,1102,0.355768297,0.165008106,0.049366782,0.685372437,0.559482517,31,AL,Alabama,1,0.237128739
1103,1103,-0.050237241,0.137711514,-0.32516319,0.202046941,0.117224585,42,AL,Alabama,1,0.754183951
1104,1104,0.482023016,0.133055798,0.217093994,0.748422824,0.630917325,49,AL,Alabama,1,0.252763844
1105,1105,0.332485576,0.164939452,-0.005138526,0.66237428,0.343373225,27,AL,Alabama,1,0.245137806
2001,2001,0.269486023,0.202973258,-0.103744713,0.669285056,-0.297717932,5,AK,Alaska,2,0.359733037
2002,2002,0.042033346,0.186099996,-0.331709257,0.399129193,-1.086986576,10,AK,Alaska,2,0.434075058
2003,2003,0.098367278,0.172700687,-0.251266264,0.395513435,-0.836748198,9,AK,Alaska,2,0.623581337
2004,2004,0.140062689,0.172782386,-0.213938564,0.464994565,-0.576435358,9,AK,Alaska,2,0.444075534
2005,2005,0.323225056,0.200118598,-0.038509799,0.721890897,0.737536357,7,AK,Alaska,2,0.488739397
2006,2006,0.531623787,0.18922131,0.179056154,0.904572166,1.289353053,8,AK,Alaska,2,0.35993099
2007,2007,0.342345347,0.198475541,-0.074733244,0.711634836,0.351856131,6,AK,Alaska,2,0.344172618
2008,2008,0.127471265,0.172258468,-0.186779463,0.475016652,-0.230351942,13,AK,Alaska,2,0.444536424
2009,2009,0.230261917,0.194421459,-0.142022156,0.597744252,-0.027834921,9,AK,Alaska,2,0.344597928
2010,2010,0.204468236,0.186853339,-0.176337883,0.552608296,-0.516471166,7,AK,Alaska,2,0.322927879
2011,2011,0.357078317,0.208911271,-0.080272766,0.74818959,0.447815039,7,AK,Alaska,2,0.166718507
2012,2012,0.163721853,0.187065127,-0.183888441,0.561779067,-0.012602895,9,AK,Alaska,2,0.249834765
2013,2013,0.35248039,0.191610601,-0.005741996,0.729304911,0.916767457,5,AK,Alaska,2,0.218594436
2014,2014,0.30988117,0.183150955,-0.024416305,0.684353169,0.160772407,11,AK,Alaska,2,0.17740113
2015,2015,0.395993466,0.200518615,0.002718228,0.759210407,0.522704347,8,AK,Alaska,2,0.214541291
2016,2016,0.302900356,0.18332499,-0.042544843,0.671664995,0.285869351,9,AK,Alaska,2,0.230066095
2017,2017,0.444571584,0.181056648,0.070476011,0.79831641,0.842404151,13,AK,Alaska,2,0.267121011
2018,2018,0.314490332,0.190905792,-0.067795831,0.642098356,0.935974955,4,AK,Alaska,2,0.276964048
2019,2019,0.064262186,0.183252493,-0.272416248,0.413792084,-0.488262862,12,AK,Alaska,2,0.380392994
2020,2020,0.273935368,0.211193813,-0.159452836,0.667448358,1.544634061,2,AK,Alaska,2,0.450559701
2021,2021,0.258241026,0.179576175,-0.083160479,0.595566895,0.276734324,16,AK,Alaska,2,0.383293291
2022,2022,0.310360768,0.188600039,-0.076979296,0.645909791,0.613483275,6,AK,Alaska,2,0.469625589
2023,2023,0.114035118,0.172354689,-0.233239253,0.450119813,-0.284743086,17,AK,Alaska,2,0.548328406
2024,2024,0.199178112,0.192798321,-0.173816569,0.601779169,-0.460707957,7,AK,Alaska,2,0.397392048
2025,2025,0.420257878,0.202086172,0.040943271,0.82272495,0.540982381,7,AK,Alaska,2,0.470377937
2026,2026,0.274153577,0.186919079,-0.089364722,0.634692924,-0.176602313,9,AK,Alaska,2,0.481595092
2027,2027,0.211959139,0.172028034,-0.11799341,0.537995368,-0.139203674,13,AK,Alaska,2,0.351443124
2028,2028,0.441591924,0.176406832,0.109339529,0.761303372,0.603724841,16,AK,Alaska,2,0.342372881
2029,2029,0.379741377,0.192964411,-0.011867982,0.726854549,0.489353074,8,AK,Alaska,2,0.36702365
2030,2030,0.267706202,0.209518692,-0.125251617,0.696828609,-0.542564209,5,AK,Alaska,2,0.345867153
2031,2031,0.179081856,0.183535358,-0.169421188,0.535248109,-0.271045314,13,AK,Alaska,2,0.325779871
2032,2032,0.138517978,0.188346338,-0.233786973,0.493707341,-0.121555693,5,AK,Alaska,2,0.398227748
2033,2033,0.24800375,0.177205531,-0.095018823,0.580584679,0.24998487,10,AK,Alaska,2,0.206718839
2034,2034,0.470681715,0.191477469,0.123164853,0.886284273,1.370662236,7,AK,Alaska,2,0.193897012
2035,2035,0.379405525,0.191932304,-0.012813591,0.786816807,0.419906715,11,AK,Alaska,2,0.423224044
2036,2036,0.140452826,0.201698804,-0.250697738,0.484104528,-0.798631975,6,AK,Alaska,2,0.346211553
2037,2037,0.443128251,0.197883982,0.046948015,0.825784695,1.283280931,2,AK,Alaska,2,0.401002506
2038,2038,0.225639715,0.211110607,-0.194015933,0.640538041,-1.728285105,1,AK,Alaska,2,0.538915426
2039,2039,0.335405475,0.209438768,-0.066911404,0.732882554,-0.593295245,1,AK,Alaska,2,0.530295443
4001,4001,0.190833446,0.076863169,0.039870525,0.338161041,0.194229062,241,AZ,Arizona,4,0.399278985
4002,4002,-0.065660293,0.110430432,-0.278537991,0.134473382,-0.213048403,89,AZ,Arizona,4,0.728789824
4003,4003,0.252884108,0.081661038,0.081425407,0.406779537,0.263215609,222,AZ,Arizona,4,0.332590781
4004,4004,0.277528918,0.070519669,0.144334449,0.410097022,0.283240116,263,AZ,Arizona,4,0.354673663
4005,4005,0.27724297,0.091935931,0.091918752,0.456694769,0.28921537,158,AZ,Arizona,4,0.319210881
4006,4006,0.265661342,0.082980545,0.113446989,0.442106286,0.284324811,216,AZ,Arizona,4,0.395231719
4007,4007,0.08223226,0.077733289,-0.088227776,0.229378629,0.041488597,213,AZ,Arizona,4,0.401582924
4008,4008,0.156357596,0.077003897,0.005267375,0.322931412,0.137863847,225,AZ,Arizona,4,0.411593146
4009,4009,0.10705276,0.078353373,-0.052876143,0.259812473,0.108573476,237,AZ,Arizona,4,0.399104252
4010,4010,0.145971216,0.088371615,-0.012150525,0.323849887,0.12363635,159,AZ,Arizona,4,0.450863962
4011,4011,-0.057416516,0.085715613,-0.21391226,0.093561625,-0.075668595,191,AZ,Arizona,4,0.465915513
4012,4012,0.04306557,0.083389539,-0.132807074,0.204411973,0.014272733,196,AZ,Arizona,4,0.448903433
4013,4013,-0.026197927,0.106747312,-0.230168756,0.195027042,0.032867867,107,AZ,Arizona,4,0.6302147
4014,4014,-0.006069699,0.110843768,-0.231332588,0.192022341,-0.003862873,98,AZ,Arizona,4,0.642527592
4015,4015,-0.308873475,0.097344893,-0.49795458,-0.112708379,-0.447271819,132,AZ,Arizona,4,0.634931823
4016,4016,-0.236474916,0.107335152,-0.451519993,-0.021902267,-0.174158766,99,AZ,Arizona,4,0.706893021
4017,4017,-0.300667863,0.084075969,-0.465395162,-0.126193552,-0.400004775,201,AZ,Arizona,4,0.578080537
4018,4018,0.244189738,0.092410826,0.044713361,0.411740141,0.213336791,135,AZ,Arizona,4,0.4111138
