"bonica.rid","name","state","district","seat","cycle","Incum.Chall_2014","ran.general_2014","MissingCandidates_2014","winner_2014"
"cand68976933","kernanthonyt","AZ",20,"state:lower",2014,"",1,1,"W"
"cand68976981","riverojose","AZ",21,"state:lower",2014,"",NA,1,""
"cand104380","hackbarthbryan","AZ",21,"state:lower",2014,"",NA,1,""
"cand123039","lovasphil","AZ",22,"state:lower",2014,"I",1,1,"W"
"cand123034","livingstondavidalan","AZ",22,"state:lower",2014,"I",1,1,"W"
"cand68976998","woodslarry","AZ",22,"state:lower",2014,"",1,1,""
"cand68976947","carlsoneffie","AZ",23,"state:lower",2014,"",NA,1,""
"cand68976930","littlefieldbob","AZ",23,"state:lower",2014,"",NA,1,""
"cand68976941","schmidtchuck","AZ",23,"state:lower",2014,"",NA,1,""
"cand68976965","lawrencejay","AZ",23,"state:lower",2014,"",NA,1,"W"
"cand68976974","strasserjohnj","AZ",23,"state:lower",2014,"",NA,1,""
"cand6659","alstonlela","AZ",24,"state:lower",2014,"I",1,1,"W"
"cand6857","campbellchadanthony","AZ",24,"state:lower",2014,"I",NA,1,""
"cand68976960","fontesadrian","AZ",24,"state:lower",2014,"",NA,1,""
"cand68977009","cassidydanielj","AZ",24,"state:lower",2014,"",NA,1,""
"cand6033","olsonjustin","AZ",25,"state:lower",2014,"I",1,1,"W"
"cand6033","olsonjustin","AZ",25,"state:lower",2014,"I",1,1,"W"
"cand34943","bowersrussellwrusty","AZ",25,"state:lower",2014,"",1,1,"W"
"cand68976948","ogeasheila","AZ",25,"state:lower",2014,"",1,1,""
"cand123041","butlerdavid","AZ",25,"state:lower",2014,"",1,1,""
"cand68976957","walkerjerry","AZ",25,"state:lower",2014,"",NA,1,""
"cand5983","sherwoodandrew","AZ",26,"state:lower",2014,"I",1,1,"W"
"cand68976959","royjames","AZ",26,"state:lower",2014,"",1,1,""
"cand5983","sherwoodandrew","AZ",26,"state:lower",2014,"I",1,1,"W"
"cand6189","riosrebecca","AZ",27,"state:lower",2014,"",1,1,"W"
"cand68976973","quionezmarcelino","AZ",27,"state:lower",2014,"",NA,1,""
"cand6629","munoznorma","AZ",27,"state:lower",2014,"I",NA,1,""
"cand5993","torresangela","AZ",27,"state:lower",2014,"",NA,1,""
"cand68976892","mcgeekatebrophy","AZ",28,"state:lower",2014,"I",1,1,"W"
"cand68976993","velasquezceci","AZ",29,"state:lower",2014,"",NA,1,"W"
"cand68976962","garciadenicemartha","AZ",29,"state:lower",2014,"",NA,1,""
"cand68976994","chapmansteven","AZ",29,"state:lower",2014,"",NA,1,""
"cand123053","larkinjonathan","AZ",30,"state:lower",2014,"I",1,1,"W"
"cand123053","larkinjonathan","AZ",30,"state:lower",2014,"I",1,1,"W"
"cand104388","lyonjohn","AZ",30,"state:lower",2014,"",1,1,""
"cand68977007","garciaangeldiego","AZ",30,"state:lower",2014,"",1,1,""
"cand5999","fannkarenelizabethms","AZ",1,"state:lower",2014,"",NA,0,"W"
"cand6793","lopezlinda","AZ",2,"state:upper",2014,"",NA,1,""
"cand6313","dalessandroandrea","AZ",2,"state:upper",2014,"I",1,1,"W"
"cand6757","cajerobedfordolivia","AZ",3,"state:upper",2014,"I",1,NA,"W"
"cand68976983","baldenegrosalomonf","AZ",3,"state:upper",2014,"",NA,NA,""
"cand68976907","pancrazimargaretlynnemrs","AZ",4,"state:upper",2014,"I",1,NA,"W"
"cand68976989","uribeconnie","AZ",4,"state:upper",2014,"",1,NA,""
"cand68976907","pancrazimargaretlynnemrs","AZ",4,"state:upper",2014,"",NA,NA,""
"cand123055","wardkelli","AZ",5,"state:upper",2014,"I",1,NA,"W"
"cand6004","crandellchesterjmr","AZ",6,"state:upper",2014,"I",NA,1,""
"cand6796","ohallerantom","AZ",6,"state:upper",2014,"",1,1,""
"cand5972","begaycarlyle","AZ",7,"state:upper",2014,"I",1,NA,"W"
"cand123002","peshlakaijamescitamae","AZ",7,"state:upper",2014,"",NA,NA,""
"cand68976969","gneitingkellyleo","AZ",7,"state:upper",2014,"",1,NA,""
"cand6765","prattfrank","AZ",8,"state:upper",2014,"",NA,NA,""
"cand6765","prattfrank","AZ",8,"state:upper",2014,"",NA,NA,""
"cand68976984","peasealan","AZ",8,"state:upper",2014,"",NA,NA,""
"cand68976964","littletonirene","AZ",8,"state:upper",2014,"",1,NA,""
"cand6865","mcguirebarbara","AZ",8,"state:upper",2014,"I",1,NA,"W"
"cand6538","vangilderharold","AZ",8,"state:upper",2014,"",NA,NA,""
"cand6868","farleysteve","AZ",9,"state:upper",2014,"I",1,NA,"W"
"cand6794","bradleydavid","AZ",10,"state:upper",2014,"I",1,NA,"W"
"cand68976954","morrisonmarkedwin","AZ",10,"state:upper",2014,"",1,NA,""
"cand6794","bradleydavid","AZ",10,"state:upper",2014,"",NA,NA,""
"cand49323","antenorifrankr","AZ",10,"state:upper",2014,"",NA,NA,""
"cand6062","smithsteve","AZ",11,"state:upper",2014,"",1,1,"W"
"cand68976968","bartlescott","AZ",11,"state:upper",2014,"",NA,1,""
"cand6742","biggsandy","AZ",12,"state:upper",2014,"I",1,NA,"W"
"cand6742","biggsandy","AZ",12,"state:upper",2014,"I",1,NA,"W"
"cand6742","biggsandy","AZ",12,"state:upper",2014,"I",1,NA,"W"
"cand123013","petersenwarren","AZ",12,"state:upper",2014,"",NA,NA,""
"cand68976997","gloverscottrichmond","AZ",12,"state:upper",2014,"",1,NA,""
"cand68976961","baptistecerradamianmatthew","AZ",12,"state:upper",2014,"",NA,NA,""
"cand68976935","farmertoby","AZ",13,"state:upper",2014,"",NA,NA,""
"cand40248","shooterdon","AZ",13,"state:upper",2014,"I",1,NA,"W"
"cand6876","montenegrosteveb","AZ",13,"state:lower",2014,"",NA,NA,"W"
"cand68976925","woodmanseeterrilee","AZ",13,"state:upper",2014,"",1,NA,""
"cand6066","griffingail","AZ",14,"state:upper",2014,"I",1,NA,"W"
"cand6851","bartonancyk","AZ",15,"state:upper",2014,"I",1,NA,"W"
"cand6851","bartonancyk","AZ",15,"state:upper",2014,"I",1,NA,"W"
"cand68977000","ryandavidj","AZ",15,"state:upper",2014,"",NA,NA,""
"cand68976946","mcarthurtaylorrobin","AZ",16,"state:upper",2014,"",NA,1,""
"cand68976918","crandallrichard","AZ",16,"state:upper",2014,"",NA,1,""
"cand5926","farnsworthdavidchristian","AZ",16,"state:upper",2014,"I",1,1,"W"
"cand6743","yarbroughsteve","AZ",17,"state:upper",2014,"I",1,1,"W"
"cand6743","yarbroughsteve","AZ",17,"state:upper",2014,"I",1,1,"W"
"cand68976910","yarbroughstevenb","AZ",17,"state:upper",2014,"I",1,1,"W"
"cand6768","mccomishjohn","AZ",18,"state:upper",2014,"I",NA,NA,""
"cand5921","dialjeff","AZ",18,"state:upper",2014,"",1,NA,"W"
"cand5921","dialjeffa","AZ",18,"state:upper",2014,"",NA,NA,"W"
"cand68976980","morrisseythomas","AZ",18,"state:upper",2014,"",NA,NA,""
"cand123059","hydrickjanie","AZ",18,"state:upper",2014,"",1,NA,""
"cand34997","spinksmark","AZ",18,"state:upper",2014,"",NA,NA,""
"cand123027","contrerasguadalupechaviramr","AZ",19,"state:upper",2014,"",NA,NA,"W"
"cand6371","hobbsjoseph","AZ",19,"state:upper",2014,"",1,NA,""
"cand6619","coteraangela","AZ",19,"state:upper",2014,"",NA,NA,""
"cand123027","contrerasguadalupechaviramr","AZ",19,"state:upper",2014,"",1,NA,""
"cand6023","yeekimberly","AZ",20,"state:upper",2014,"I",1,NA,"W"
"cand68976934","henryjustindonnell","AZ",20,"state:upper",2014,"",NA,NA,""
"cand6217","kennedypatrice","AZ",20,"state:upper",2014,"",1,NA,""
"cand6701","quellanddoug","AZ",20,"state:upper",2014,"",1,NA,""
"cand6875","leskodebbie","AZ",21,"state:upper",2014,"",1,NA,"W"
"cand45765","murphyrick","AZ",21,"state:upper",2014,"",NA,NA,""
"cand68977004","vaskocarolyn","AZ",21,"state:upper",2014,"",1,NA,""
"cand6745","burgesjudy","AZ",22,"state:upper",2014,"I",1,1,"W"
"cand6745","burgesjudy","AZ",22,"state:upper",2014,"I",1,1,"W"
