Name,ElectionStatus,StatusOfCandidate,SpecificParty,GeneralParty,State,Year,ElectionType,Office,IncumbencyStatus,NumberOfRecords,TotalDollars
"CHRISTIE, CHRISTOPHER J (CHRIS) & GUADAGNO, KIM",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NJ,2009,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,4,"$10,400,000"
"MURPHY, PHILIP D (PHIL)& OLIVER, SHEILA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NJ,2017,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,3,"$9,300,000"
"MALLOY, DANNEL P & WYMAN, NANCY S",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,8,"$8,822,850"
"FOLEY SR, THOMAS COLEMAN (TOM) & SOMERS, HEATHER",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,3,"$8,244,999"
"CHRISTIE, CHRISTOPHER J (CHRIS) & GUADAGNO, KIM",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NJ,2013,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,INCUMBENT,3,"$8,047,236"
"MALLOY, DANNEL P & WYMAN, NANCY S",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,INCUMBENT,3,"$6,500,310"
"GUADAGNO, KIM & RENDO, CARLOS A",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NJ,2017,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,5,"$5,480,371"
"DE BLASIO, BILL",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,MAYOR,OPEN,8,"$3,994,496"
"TOLMAN, WARREN E",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,MA,2002,STANDARD,GOVERNOR,OPEN,7,"$3,788,200"
"BUONO, BARBARA & SILVA, MILLY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NJ,2013,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,6,"$3,611,360"
"QUINN, CHRISTINE C",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,MAYOR,OPEN,2,"$3,534,300"
"DE BLASIO, BILL",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2017,STANDARD,MAYOR,OPEN,7,"$3,488,124"
"CRIST JR, CHARLES JOSEPH (CHARLIE) & KOTTKAMP, JEFFREY D",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2006,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,13,"$3,309,338"
"LHOTA, JOSEPH J",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NY-NYC,2013,STANDARD,MAYOR,OPEN,8,"$3,128,034"
"HOGAN JR, LAWRENCE J (LARRY) & RUTHERFORD, BOYD K",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MD,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,4,"$2,918,175"
"LONEGAN, STEVEN M",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NJ,2009,STANDARD,GOVERNOR,OPEN,5,"$2,709,979"
"CRIST JR, CHARLES JOSEPH (CHARLIE) & TADDEO, ANNETTE",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,11,"$2,579,780"
"SQUADRON, DANIEL",LOST-PRIMARY RUNOFF,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,PUBLIC ADVOCATE,CHALLENGER,5,"$2,558,599"
"MALLIOTAKIS, NICOLE",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NY-NYC,2017,STANDARD,MAYOR,OPEN,4,"$2,485,212"
"FEDELE JR, MICHAEL C",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,GOVERNOR,OPEN,5,"$2,477,728"
"DESANTIS, RONALD D (RON) & NUNEZ, JEANETTE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,13,"$2,307,148"
"NAPOLITANO, JANET",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2002,STANDARD,GOVERNOR,OPEN,6,"$2,254,740"
"GILLUM, ANDREW D & KING, THOMAS CHRISTOPHER (CHRIS)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,10,"$2,228,388"
"POSTHUMUS, RICHARD E & BENNETT, LOREN N",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MI,2002,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,12,"$2,115,000"
"FORGY, LARRY",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,KY,1995,STANDARD,GOVERNOR,UNKNOWN,1,"$2,000,000"
"PATTON, PAUL E",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,KY,1995,STANDARD,GOVERNOR,UNKNOWN,1,"$2,000,000"
"MCBRIDE, WILLIAM H & ROSSIN, TOM",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2002,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,13,"$1,976,288"
"STRINGER, SCOTT M",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,CITY COMPTROLLER,OPEN,5,"$1,952,350"
"THOMPSON JR, WILLIAM C",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,MAYOR,OPEN,4,"$1,852,446"
"DAVIS, JIM & JONES, DARYL L",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2006,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,12,"$1,825,853"
"SCHUNDLER, BRET D",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NJ,2005,STANDARD,GOVERNOR,OPEN,4,"$1,807,750"
"MCCOLLUM, BILL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,FL,2010,STANDARD,GOVERNOR,OPEN,5,"$1,802,082"
"MITCHELL, ELIZABETH H",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,GOVERNOR,OPEN,13,"$1,799,398"
"BREWER, JAN",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,AZ,2010,STANDARD,GOVERNOR,INCUMBENT,4,"$1,768,577"
"GODDARD, TERRY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2010,STANDARD,GOVERNOR,CHALLENGER,6,"$1,760,945"
"MAHONEY, RICHARD D",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,AZ,2002,STANDARD,GOVERNOR,OPEN,16,"$1,694,875"
"WEINER, ANTHONY D",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,MAYOR,OPEN,4,"$1,652,074"
"JOHNSON, JIM",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NJ,2017,STANDARD,GOVERNOR,OPEN,2,"$1,564,420"
"NAPOLITANO, JANET",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2006,STANDARD,GOVERNOR,INCUMBENT,6,"$1,555,524"
"BERNERO, VIRGIL P & LAWRENCE, BRENDA",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,MI,2010,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,5,"$1,381,224"
"MCKINNEY, JOHN P",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,CT,2014,STANDARD,GOVERNOR,OPEN,1,"$1,359,061"
"MUNSIL, LEN",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,AZ,2006,STANDARD,GOVERNOR,CHALLENGER,19,"$1,358,337"
"OBSITNIK, STEPHEN A (STEVE)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,CT,2018,STANDARD,GOVERNOR,OPEN,1,"$1,346,670"
"GALLAGHER, TOM",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,FL,2006,STANDARD,GOVERNOR,OPEN,5,"$1,335,235"
"WOODCOCK, CHANDLER E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,ME,2006,STANDARD,GOVERNOR,CHALLENGER,5,"$1,316,173"
"WISNIEWSKI, JOHN S",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NJ,2017,STANDARD,GOVERNOR,OPEN,3,"$1,299,887"
"SCHROEDER, ROBERT",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NJ,2005,STANDARD,GOVERNOR,OPEN,4,"$1,265,742"
"GRAHAM, GWEN",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,GOVERNOR,OPEN,5,"$1,219,561"
"JAMES, LETITIA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,PUBLIC ADVOCATE,INCUMBENT,5,"$1,153,058"
"HAYES, TERRY",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,ME,2018,STANDARD,GOVERNOR,OPEN,4,"$1,149,627"
"MACKAY, BUDDY & DANTZLER, RICHARD E",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,1998,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,14,"$1,149,406"
"ENGLER, JOHN M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MI,1998,STANDARD,GOVERNOR,INCUMBENT,2,"$1,125,000"
"GRANHOLM, JENNIFER M & CHERRY JR, JOHN D",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,MI,2006,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,INCUMBENT,2,"$1,125,000"
"GRANHOLM, JENNIFER M & CHERRY JR, JOHN D",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,MI,2002,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,2,"$1,125,000"
"FUNG, ALLAN W",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,RI,2014,STANDARD,GOVERNOR,OPEN,3,"$1,124,495"
"LAMARCHE, PATRICIA H",LOST-GENERAL,LOST,GREEN INDEPENDENT,THIRD-PARTY,ME,2006,STANDARD,GOVERNOR,CHALLENGER,5,"$1,118,235"
"MERRILL, DENISE",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,SECRETARY OF STATE,OPEN,4,"$1,117,010"
"LEMBO, KEVIN P",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,COMPTROLLER,OPEN,8,"$1,106,150"
"DAGGETT, CHRIS & ESPOSITO, FRANK J",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,NJ,2009,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,3,"$1,086,732"
"OMALLEY, MARTIN J",LOST-CONVENTION,LOST,DEMOCRATIC,DEMOCRATIC,US,2016,STANDARD,PRESIDENT / VICE PRESIDENT,OPEN,3,"$1,080,062"
"BAYLESS, MARY E (BETSEY)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,AZ,2002,STANDARD,GOVERNOR,OPEN,21,"$1,077,170"
"SPRINGER, CAROL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,AZ,2002,STANDARD,GOVERNOR,OPEN,13,"$1,068,850"
"PUTNAM, ADAM H",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,GOVERNOR,OPEN,4,"$1,038,214"
"EMMER JR, THOMAS EARL& MEEKS, ANNETTE T",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2010,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,4,"$1,027,988"
"MURPHY, JOHN",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NJ,2005,STANDARD,GOVERNOR,OPEN,5,"$1,005,453"
"BABBAGE, BOB",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,KY,1995,STANDARD,GOVERNOR,UNKNOWN,1,"$1,000,000"
"ROSE, JOHN A (ECK)",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,KY,1995,STANDARD,GOVERNOR,UNKNOWN,1,"$1,000,000"
"BONIOR, DAVID E",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,MI,2002,STANDARD,GOVERNOR,OPEN,3,"$990,000"
"FOGARTY, CHARLES J",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,RI,2006,STANDARD,GOVERNOR,CHALLENGER,4,"$981,000"
"CIATTARELLI, JACK M",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NJ,2017,STANDARD,GOVERNOR,OPEN,3,"$970,724"
"SMITH, ROD",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,FL,2006,STANDARD,GOVERNOR,OPEN,7,"$944,899"
"WHITMER, GRETCHEN E & GILCHRIST, GARLIN",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,MI,2018,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,4,"$929,395"
"MERRILL, BARBARA E",LOST-GENERAL,LOST,UNENROLLED,THIRD-PARTY,ME,2006,STANDARD,GOVERNOR,CHALLENGER,4,"$920,797"
"EL-SAYED, ADBULRAHMAN M (ADBUL)",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,MI,2018,STANDARD,GOVERNOR,OPEN,9,"$909,351"
"SCHAUER, MARK HAMILTON & BROWN, LISA",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,MI,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,7,"$907,071"
"CARTER, JONATHAN K",LOST-GENERAL,LOST,GREEN INDEPENDENT,THIRD-PARTY,ME,2002,STANDARD,GOVERNOR,OPEN,4,"$902,602"
"MCCOLLUM, BILL",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2006,STANDARD,ATTORNEY GENERAL,OPEN,13,"$897,104"
"SINK, ADELAIDE (ALEX)",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,FL,2006,STANDARD,CHIEF FINANCIAL OFFICER,OPEN,12,"$891,234"
"RENO, JANET",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,FL,2002,STANDARD,GOVERNOR,OPEN,5,"$889,284"
"BREWER, GALE",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,BOROUGH PRESIDENT DISTRICT NEW YORK,OPEN,5,"$847,451"
"MERRILL, DENISE",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2014,STANDARD,SECRETARY OF STATE,INCUMBENT,2,"$813,265"
"HERBST, TIMOTHY M",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2014,STANDARD,TREASURER,CHALLENGER,2,"$812,551"
"LEMBO, KEVIN P",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2014,STANDARD,COMPTROLLER,INCUMBENT,3,"$812,458"
"JEPSEN, GEORGE C",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2014,STANDARD,ATTORNEY GENERAL,INCUMBENT,1,"$812,327"
"NAPPIER, DENISE L",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2014,STANDARD,TREASURER,INCUMBENT,1,"$811,950"
"LUMAJ, PJERIN (PETER)",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2014,STANDARD,SECRETARY OF STATE,CHALLENGER,1,"$807,549"
"WESTBY, KIE N",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2014,STANDARD,ATTORNEY GENERAL,CHALLENGER,1,"$806,890"
"DEVAL, PATRICK L & MURRAY, TIMOTHY P",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,MA,2006,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,2,"$806,845"
"JACKSON, ROBERT",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,BOROUGH PRESIDENT DISTRICT NEW YORK,OPEN,5,"$797,593"
"MENIN, JULIE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,BOROUGH PRESIDENT DISTRICT NEW YORK,OPEN,2,"$795,170"
"MIZEUR, HEATHER & COATES, DELMAN",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,MD,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,12,"$783,478"
"LONEGAN, STEVEN M",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NJ,2005,STANDARD,GOVERNOR,OPEN,3,"$778,763"
"LAPPIN, JESSICA",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,BOROUGH PRESIDENT DISTRICT NEW YORK,OPEN,4,"$772,326"
"KATZ, MELINDA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,BOROUGH PRESIDENT DISTRICT QUEENS,OPEN,8,"$762,738"
"JAMES, LETITIA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2017,STANDARD,PUBLIC ADVOCATE,INCUMBENT,4,"$756,486"
"BENNETT, KENNETH ROY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,AZ,2014,STANDARD,GOVERNOR,OPEN,1,"$753,616"
"THOMAS, ANDREW P",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,AZ,2014,STANDARD,GOVERNOR,OPEN,1,"$753,616"
"WRIGHT, JEFF",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,TREASURER,CHALLENGER,3,"$747,615"
"FARRELL JR, JERRY",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,SECRETARY OF STATE,OPEN,3,"$744,900"
"ATWATER, JEFFREY H",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2010,STANDARD,CHIEF FINANCIAL OFFICER,OPEN,,
"JEPSEN, GEORGE C",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,ATTORNEY GENERAL,OPEN,2,"$740,381"
"DIGAETANO, PAUL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NJ,2005,STANDARD,GOVERNOR,OPEN,2,"$720,540"
"MASON, GARRETT PAUL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2018,STANDARD,GOVERNOR,OPEN,4,"$700,000"
"SWEET, ELIZABETH ANN (BETSY)",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,GOVERNOR,OPEN,5,"$698,383"
"NAPPIER, DENISE L",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,TREASURER,INCUMBENT,3,"$696,103"
"GELBER, DAN",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2010,STANDARD,ATTORNEY GENERAL,OPEN,12,"$666,696"
"CAHILL, TIMOTHY P & LOSCOCCO, PAUL",LOST-GENERAL,LOST,UNENROLLED,THIRD-PARTY,MA,2010,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,2,"$661,534"
"HATCH, MICHAEL A & DUTCHER, JUDI",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2006,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,2,"$660,388"
"VALLONE, PETER",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,BOROUGH PRESIDENT DISTRICT QUEENS,OPEN,3,"$655,488"
"LEE, THOMAS A (TOM)",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,FL,2006,STANDARD,CHIEF FINANCIAL OFFICER,OPEN,11,"$651,143"
"OWEN, LARRY",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,MI,1998,STANDARD,GOVERNOR,OPEN,14,"$635,680"
"GREENSTEIN, LINDA R",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NJ,2007,STANDARD,ASSEMBLY DISTRICT 014,INCUMBENT,4,"$626,375"
"COAKLEY, MARTHA M & KERRIGAN, STEPHEN J",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,MA,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,2,"$605,845"
"BLANCHARD JR, JAMES J (JIM)",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,MI,2002,STANDARD,GOVERNOR,OPEN,8,"$604,988"
"HUMPHREY III, HUBERT H",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,1998,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,1,"$603,544"
"MCGOWAN, PATRICK K",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,GOVERNOR,OPEN,4,"$599,998"
"MILLS, S PETER",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2010,STANDARD,GOVERNOR,OPEN,3,"$599,380"
"GALLAGHER, TOM",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2000,STANDARD,TREASURER,OPEN,15,"$577,200"
"KATZ, MELINDA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2017,STANDARD,BOROUGH PRESIDENT DISTRICT QUEENS,INCUMBENT,4,"$567,464"
"PUTNAM, ADAM H",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2010,STANDARD,AGRICULTURE COMMISSIONER,OPEN,11,"$552,075"
"DAYTON, MARK & SMITH, TINA FLINT",WON-GENERAL,WON,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,INCUMBENT,1,"$541,158"
"DEANGELO, WAYNE P",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NJ,2007,STANDARD,ASSEMBLY DISTRICT 014,CHALLENGER,11,"$541,040"
"BUSHMAN, ADAM R",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NJ,2007,STANDARD,ASSEMBLY DISTRICT 014,CHALLENGER,3,"$526,375"
"GOODWIN, THOMAS",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NJ,2007,STANDARD,ASSEMBLY DISTRICT 014,CHALLENGER,3,"$526,375"
"SINGH, SEEMA",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NJ,2007,STANDARD,SENATE DISTRICT 014,OPEN,4,"$526,375"
"BARONI, BILL",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NJ,2007,STANDARD,SENATE DISTRICT 014,OPEN,3,"$526,375"
"NEWMAN, PAUL",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2008,STANDARD,CORPORATION COMMISSIONER,OPEN,9,"$497,828"
"KENNEDY, SANDRA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2008,STANDARD,CORPORATION COMMISSIONER,OPEN,13,"$494,073"
"GODDARD, TERRY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2014,STANDARD,SECRETARY OF STATE,OPEN,2,"$488,200"
"CALIGUIRE, TODD",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NJ,2005,STANDARD,GOVERNOR,OPEN,2,"$488,110"
"HOEKSTRA, PETER",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,MI,2010,STANDARD,GOVERNOR,OPEN,7,"$487,289"
"BENJAMIN, BRENT DEANE",LOST-GENERAL,LOST,NONPARTISAN,NONPARTISAN,WV,2016,STANDARD,SUPREME COURT-BENJAMIN SEAT,INCUMBENT,1,"$483,489"
"WOOTON, WILLIAM ROBERT (BILL)",LOST-GENERAL,LOST,NONPARTISAN,NONPARTISAN,WV,2016,STANDARD,SUPREME COURT-BENJAMIN SEAT,CHALLENGER,1,"$475,000"
"HARRIS, KATHERINE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,1998,STANDARD,SECRETARY OF STATE,OPEN,12,"$468,058"
"PUTNAM, ADAM H",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2014,STANDARD,AGRICULTURE COMMISSIONER,INCUMBENT,13,"$458,469"
"BENNETT, KENNETH ROY",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,AZ,2010,STANDARD,SECRETARY OF STATE,INCUMBENT,2,"$458,008"
"GOLDWATER, DON",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,AZ,2006,STANDARD,GOVERNOR,OPEN,1,"$453,849"
"BRONSON, CHARLES H",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2002,STANDARD,AGRICULTURE COMMISSIONER,OPEN,13,"$435,976"
"MOODY, ASHLEY",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,ATTORNEY GENERAL,OPEN,13,"$428,737"
"ARONBERG, DAVE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,FL,2010,STANDARD,ATTORNEY GENERAL,OPEN,5,"$426,975"
"BONDI, PAMELA J",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2010,STANDARD,ATTORNEY GENERAL,OPEN,15,"$425,834"
"CRIST JR, CHARLES JOSEPH (CHARLIE)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2002,STANDARD,ATTORNEY GENERAL,OPEN,14,"$424,706"
"CRIST JR, CHARLES JOSEPH (CHARLIE)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2000,STANDARD,COMMISSIONER OF EDUCATION,OPEN,13,"$422,359"
"ROSS, DOUG",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,MI,1998,STANDARD,GOVERNOR,OPEN,15,"$420,226"
"AUSLEY, LORANNE",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2010,STANDARD,CHIEF FINANCIAL OFFICER,OPEN,9,"$418,974"
"ATWATER, JEFFREY H",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2014,STANDARD,CHIEF FINANCIAL OFFICER,INCUMBENT,16,"$418,396"
"DYER, BUDDY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2002,STANDARD,ATTORNEY GENERAL,OPEN,13,"$413,376"
"MOE, ROGER D & SABO, JULIE ANN",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2002,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,2,"$410,981"
